"app_name_greenball","date","STEAM_MAX_PLAYER_COUNT","daily_connections","EXITLAG_unique_users"
"Blue Protocol: Star Resonance","2025-11-30","8326","69804","607"
"Counter-Strike 2","2025-11-29","1446954","223416","14664"
"Dota 2","2025-11-29","883275","87889","4956"
"PUBG","2025-11-29","615760","379458","3681"
"Battlefield™ 6","2025-11-29","236757","230533","6491"
"Apex Legends","2025-11-29","198929","218495","3358"
"Rust","2025-11-29","144205","8186","795"
"Marvel Rivals","2025-11-29","124018","166961","2493"
"Call Of Duty: MWII | MWIII","2025-11-29","78844","28232","378"
"Team Fortress 2","2025-11-29","78088","2236","93"
"EA SPORTS FC 26","2025-11-29","74241","129762","1448"
"Baldur's Gate 3","2025-11-29","72107","125","21"
"R.E.P.O.","2025-11-29","56405","3275","330"
"Dead by Daylight","2025-11-29","53812","170036","2894"
"Don't Starve Together","2025-11-29","53279","377","19"
"Rainbow Six Siege","2025-11-29","49277","0","0"
"Path of Exile","2025-11-29","48441","395826","2792"
"Farming Simulator 25","2025-11-29","46420","51","7"
"Enshrouded","2025-11-29","42085","1534","95"
"PalWorld","2025-11-29","41685","488","46"
"Europa Universalis V","2025-11-29","39182","0","0"
"Overwatch 2","2025-11-29","38966","114976","2998"
"Limbus Company","2025-11-29","38051","63","15"
"Risk of Rain 2","2025-11-29","37149","443","80"
"INAZUMA ELEVEN: Victory Road","2025-11-29","36232","86","6"
"Helldivers 2","2025-11-29","36021","3068","153"
"Elden Ring","2025-11-29","35470","1203","106"
"Street Fighter VI","2025-11-29","31674","7743","148"
"Left 4 Dead 2","2025-11-29","30622","4780","79"
"7 Days to Die","2025-11-29","30445","316","27"
"Total War Warhammer 3","2025-11-29","30064","51","8"
"Project Zomboid","2025-11-29","29577","271","45"
"ARK: Survival Evolved","2025-11-29","28086","107","16"
"Warhammer: Vermintide 2","2025-11-29","26616","2722","66"
"Monster Hunter Wilds","2025-11-29","26311","1770","68"
"NBA 2K26","2025-11-29","25839","38563","374"
"ARK Survival Ascended","2025-11-29","25600","3388","96"
"Hunt: Showdown","2025-11-29","25388","87139","300"
"Rocket League","2025-11-29","24853","139293","1893"
"Football Manager 2024","2025-11-29","24745","0","0"
"Factorio","2025-11-29","23738","65","16"
"Warhammer 40,000: Space Marine 2","2025-11-29","23726","6463","117"
"Phasmophobia","2025-11-29","21563","1697","57"
"EA SPORTS FC 25","2025-11-29","20881","5792","60"
"Once Human","2025-11-29","20478","7995","177"
"Destiny 2","2025-11-29","19887","20300","142"
"Eternal Return","2025-11-29","19736","15709","445"
"Stellaris","2025-11-29","19659","0","0"
"Stalcraft: X","2025-11-29","19646","5843","94"
"eFootball™ 2026","2025-11-29","19597","107978","340"
"Final Fantasy XIV","2025-11-29","19462","78934","3596"
"Sid Meier's Civilization V","2025-11-29","19412","0","0"
"Russian Fishing 4","2025-11-29","19004","61","8"
"CS: Source","2025-11-29","18683","243","27"
"Goose Goose Duck","2025-11-29","18509","157","11"
"RV There Yet?","2025-11-29","18299","493","19"
"IdleOn - The Idle MMO","2025-11-29","18167","42","3"
"Anno 117: Pax Romana","2025-11-29","17912","34","4"
"Assetto Corsa","2025-11-29","17868","322","27"
"Black Desert Online","2025-11-29","17729","382599","5369"
"The Planet Crafter","2025-11-29","17331","20","2"
"Squad","2025-11-29","17041","106372","110"
"No Man's Sky","2025-11-29","16931","241","13"
"Schedule I ","2025-11-29","16841","104","5"
"Split Fiction","2025-11-29","16789","42","2"
"The Finals","2025-11-29","15866","18822","236"
"Wuthering Waves","2025-11-29","15550","14755","1060"
"Party Animals","2025-11-29","15129","916","27"
"NBA 2K25","2025-11-29","14528","191","7"
"Arma Reforger","2025-11-29","13900","492","66"
"F1 25","2025-11-29","13889","205","34"
"Sons of The Forest","2025-11-29","13812","64","10"
"Borderlands 4","2025-11-29","13469","106","8"
"Ghost Of Tsushima","2025-11-29","13429","0","0"
"MIR4","2025-11-29","13273","25884","1428"
"Path of Exile 2","2025-11-29","13127","22826","327"
"Solo Leveling: ARISE OVERDRIVE","2025-11-29","12538","429","55"
"Fallout 76","2025-11-29","12535","885","41"
"Unturned","2025-11-29","12469","279","10"
"Warhammer 40,000: Darktide","2025-11-29","11664","7147","83"
"Bloons TD 6","2025-11-29","11626","580","11"
"Escape the Backrooms","2025-11-29","11312","30","3"
"Throne and Liberty Global","2025-11-29","11058","605310","2735"
"Dying Light: The Beast","2025-11-29","11042","74","6"
"Sid Meier's Civilization VII","2025-11-29","10804","0","0"
"Diablo IV China","2025-11-29","10480","0","0"
"Deep Rock Galactic","2025-11-29","10259","472","12"
"Raft","2025-11-29","10208","48","7"
"Dying Light","2025-11-29","10195","12","2"
"Astroneer Space","2025-11-29","10144","0","0"
"Dark Souls III","2025-11-29","9257","152","12"
"Monster Hunter Rise","2025-11-29","9117","88","2"
"Tabletop Simulator","2025-11-29","9021","40","7"
"Sea of Thieves","2025-11-29","8889","14526","200"
"Ready or Not","2025-11-29","8754","305","17"
"World of Tanks","2025-11-29","8723","137800","1217"
"Fellowship","2025-11-29","8626","15853","307"
"Blue Protocol: Star Resonance","2025-11-29","8564","73187","622"
"The Isle","2025-11-29","8563","1327","49"
"Dune: Awakening","2025-11-29","8419","2191","59"
"MIMESIS","2025-11-29","8358","0","0"
"Counter-Strike 2","2025-11-28","1428302","201258","14135"
"Dota 2","2025-11-28","822165","78757","4846"
"PUBG","2025-11-28","605231","323279","3466"
"Battlefield™ 6","2025-11-28","228044","182740","5721"
"Apex Legends","2025-11-28","190892","179766","3027"
"Rust","2025-11-28","143831","10445","818"
"Marvel Rivals","2025-11-28","117095","166437","2440"
"EA SPORTS FC 26","2025-11-28","76359","114675","1351"
"Call Of Duty: MWII | MWIII","2025-11-28","72673","25095","354"
"Baldur's Gate 3","2025-11-28","62400","82","14"
"Team Fortress 2","2025-11-28","59052","906","70"
"Don't Starve Together","2025-11-28","50570","310","17"
"R.E.P.O.","2025-11-28","49474","2592","277"
"Dead by Daylight","2025-11-28","49247","146861","2741"
"Path of Exile","2025-11-28","47299","355569","2822"
"Rainbow Six Siege","2025-11-28","45859","0","0"
"Farming Simulator 25","2025-11-28","44132","44","9"
"Limbus Company","2025-11-28","42950","51","12"
"Enshrouded","2025-11-28","37617","1662","96"
"Europa Universalis V","2025-11-28","37119","0","0"
"PalWorld","2025-11-28","36435","449","35"
"Overwatch 2","2025-11-28","35794","99369","2789"
"Risk of Rain 2","2025-11-28","34003","400","71"
"Helldivers 2","2025-11-28","32317","2214","109"
"Street Fighter VI","2025-11-28","31873","8454","147"
"INAZUMA ELEVEN: Victory Road","2025-11-28","30930","34","3"
"Elden Ring","2025-11-28","29594","976","108"
"Left 4 Dead 2","2025-11-28","26901","2500","64"
"Total War Warhammer 3","2025-11-28","26258","88","9"
"PAYDAY 2","2025-11-28","26201","92","3"
"Rocket League","2025-11-28","25309","130676","1751"
"7 Days to Die","2025-11-28","25231","134","17"
"Project Zomboid","2025-11-28","25088","210","36"
"Warhammer: Vermintide 2","2025-11-28","24490","1582","47"
"ARK: Survival Evolved","2025-11-28","23944","105","11"
"NBA 2K26","2025-11-28","23777","33316","335"
"Hunt: Showdown","2025-11-28","23697","90885","273"
"ARK Survival Ascended","2025-11-28","23381","2662","80"
"Monster Hunter Wilds","2025-11-28","22642","1644","61"
"Warhammer 40,000: Space Marine 2","2025-11-28","22104","7269","87"
"Football Manager 2024","2025-11-28","21674","0","0"
"Factorio","2025-11-28","21476","97","10"
"Stalcraft: X","2025-11-28","20097","3911","97"
"Eternal Return","2025-11-28","19909","14066","426"
"Phasmophobia","2025-11-28","19222","2170","61"
"EA SPORTS FC 25","2025-11-28","19071","3552","65"
"eFootball™ 2026","2025-11-28","19065","111193","348"
"Once Human","2025-11-28","18696","6307","165"
"Destiny 2","2025-11-28","18433","17295","130"
"Russian Fishing 4","2025-11-28","18139","80","7"
"Final Fantasy XIV","2025-11-28","17953","71332","3473"
"CS: Source","2025-11-28","17914","172","30"
"Sid Meier's Civilization V","2025-11-28","17706","0","0"
"Assetto Corsa","2025-11-28","17385","147","22"
"Black Desert Online","2025-11-28","17334","314681","5182"
"Anno 117: Pax Romana","2025-11-28","17088","18","3"
"Stellaris","2025-11-28","16482","0","0"
"IdleOn - The Idle MMO","2025-11-28","16380","94","4"
"Goose Goose Duck","2025-11-28","16142","128","9"
"RV There Yet?","2025-11-28","15628","370","14"
"No Man's Sky","2025-11-28","15218","36","5"
"The Planet Crafter","2025-11-28","15149","20","1"
"Party Animals","2025-11-28","14637","687","23"
"Schedule I ","2025-11-28","14627","42","2"
"NBA 2K25","2025-11-28","14580","156","5"
"Wuthering Waves","2025-11-28","14429","8191","1034"
"Squad","2025-11-28","14206","85037","60"
"The Finals","2025-11-28","13776","13767","205"
"Split Fiction","2025-11-28","13719","28","2"
"MIR4","2025-11-28","13144","21152","1370"
"F1 25","2025-11-28","12819","210","38"
"Arma Reforger","2025-11-28","12668","436","61"
"Borderlands 4","2025-11-28","12185","31","5"
"Path of Exile 2","2025-11-28","11962","18590","297"
"Unturned","2025-11-28","11662","276","7"
"Sons of The Forest","2025-11-28","11549","10","4"
"Ghost Of Tsushima","2025-11-28","11448","0","0"
"Fallout 76","2025-11-28","11395","1274","39"
"Solo Leveling: ARISE OVERDRIVE","2025-11-28","11381","246","39"
"Throne and Liberty Global","2025-11-28","11025","559024","2660"
"Bloons TD 6","2025-11-28","10879","404","10"
"Escape the Backrooms","2025-11-28","10194","20","1"
"Astroneer Space","2025-11-28","10019","0","0"
"Sid Meier's Civilization VII","2025-11-28","9777","0","0"
"Dying Light: The Beast","2025-11-28","9254","176","8"
"Deep Rock Galactic","2025-11-28","9166","122","4"
"Warhammer 40,000: Darktide","2025-11-28","9163","5293","65"
"Ready or Not","2025-11-28","8948","235","18"
"Diablo IV China","2025-11-28","8860","0","0"
"Dying Light","2025-11-28","8855","34","4"
"Blue Protocol: Star Resonance","2025-11-28","8845","68704","650"
"Fellowship","2025-11-28","8764","15412","306"
"Monster Hunter Rise","2025-11-28","8673","78","2"
"Raft","2025-11-28","8591","80","11"
"World of Tanks","2025-11-28","8404","119010","1191"
"The Isle","2025-11-28","8144","572","45"
"Sea of Thieves","2025-11-28","7823","9336","166"
"Dune: Awakening","2025-11-28","7752","2127","52"
"The First Descendant","2025-11-28","7703","12661","121"
"Tabletop Simulator","2025-11-28","7632","18","5"
"Counter-Strike 2","2025-11-27","1362849","189049","13960"
"Dota 2","2025-11-27","778728","75102","4751"
"PUBG","2025-11-27","620240","325983","3529"
"Battlefield™ 6","2025-11-27","198449","174258","5807"
"Apex Legends","2025-11-27","185129","174475","3004"
"Rust","2025-11-27","121672","6734","731"
"Marvel Rivals","2025-11-27","102317","142665","2251"
"Call Of Duty: MWII | MWIII","2025-11-27","68960","22874","331"
"EA SPORTS FC 26","2025-11-27","63643","88840","1281"
"Team Fortress 2","2025-11-27","61301","1280","75"
"Baldur's Gate 3","2025-11-27","54704","76","16"
"Path of Exile","2025-11-27","48656","357504","2909"
"Limbus Company","2025-11-27","47820","64","16"
"Don't Starve Together","2025-11-27","44453","298","22"
"Farming Simulator 25","2025-11-27","44026","30","5"
"Dead by Daylight","2025-11-27","43862","144930","2689"
"Rainbow Six Siege","2025-11-27","41549","0","0"
"R.E.P.O.","2025-11-27","38391","2546","257"
"Risk of Rain 2","2025-11-27","35026","307","65"
"Europa Universalis V","2025-11-27","34527","0","0"
"PalWorld","2025-11-27","34308","358","33"
"Overwatch 2","2025-11-27","34159","97660","2864"
"Enshrouded","2025-11-27","32000","1054","90"
"Street Fighter VI","2025-11-27","30390","8410","149"
"INAZUMA ELEVEN: Victory Road","2025-11-27","29102","34","6"
"Helldivers 2","2025-11-27","28659","2660","109"
"Elden Ring","2025-11-27","27763","866","102"
"PAYDAY 2","2025-11-27","24860","18","2"
"Warhammer: Vermintide 2","2025-11-27","24063","1714","53"
"Left 4 Dead 2","2025-11-27","24024","1851","73"
"Rocket League","2025-11-27","23906","123039","1718"
"7 Days to Die","2025-11-27","23808","148","21"
"Hunt: Showdown","2025-11-27","23600","80888","246"
"Total War Warhammer 3","2025-11-27","23489","60","10"
"NBA 2K26","2025-11-27","23292","29929","318"
"Project Zomboid","2025-11-27","22957","454","52"
"ARK: Survival Evolved","2025-11-27","22366","146","12"
"Monster Hunter Wilds","2025-11-27","22012","1285","57"
"ARK Survival Ascended","2025-11-27","21392","2013","71"
"Football Manager 2024","2025-11-27","21370","0","0"
"eFootball™ 2026","2025-11-27","21352","117068","338"
"Eternal Return","2025-11-27","19891","11844","406"
"Stalcraft: X","2025-11-27","19567","6570","102"
"Factorio","2025-11-27","19305","32","10"
"Warhammer 40,000: Space Marine 2","2025-11-27","19193","6095","107"
"Once Human","2025-11-27","18528","8070","184"
"CS: Source","2025-11-27","18515","158","24"
"Russian Fishing 4","2025-11-27","17854","18","5"
"EA SPORTS FC 25","2025-11-27","17330","4378","68"
"Assetto Corsa","2025-11-27","17322","150","20"
"IdleOn - The Idle MMO","2025-11-27","16849","50","3"
"Black Desert Online","2025-11-27","16513","341495","5522"
"Sid Meier's Civilization V","2025-11-27","16317","0","0"
"Final Fantasy XIV","2025-11-27","16260","71352","3533"
"Phasmophobia","2025-11-27","15793","1714","62"
"Anno 117: Pax Romana","2025-11-27","15515","6","3"
"Stellaris","2025-11-27","15160","12","1"
"Destiny 2","2025-11-27","14938","14280","126"
"No Man's Sky","2025-11-27","14362","104","10"
"NBA 2K25","2025-11-27","14254","192","8"
"Party Animals","2025-11-27","13665","698","23"
"The Planet Crafter","2025-11-27","13651","108","4"
"MIR4","2025-11-27","13362","19970","1406"
"Squad","2025-11-27","13250","81467","68"
"Goose Goose Duck","2025-11-27","13017","188","8"
"Schedule I ","2025-11-27","12436","6","1"
"The Finals","2025-11-27","12333","15851","192"
"Split Fiction","2025-11-27","12238","20","2"
"Unturned","2025-11-27","12145","358","7"
"RV There Yet?","2025-11-27","11602","134","4"
"Path of Exile 2","2025-11-27","11560","17335","291"
"F1 25","2025-11-27","11309","90","27"
"Solo Leveling: ARISE OVERDRIVE","2025-11-27","11297","238","41"
"Fallout 76","2025-11-27","11212","790","33"
"Throne and Liberty Global","2025-11-27","10796","588391","2776"
"Borderlands 4","2025-11-27","10759","84","6"
"Ghost Of Tsushima","2025-11-27","10629","0","0"
"Arma Reforger","2025-11-27","10370","438","53"
"Astroneer Space","2025-11-27","10060","2","1"
"Bloons TD 6","2025-11-27","10016","116","4"
"Wuthering Waves","2025-11-27","9986","3828","1070"
"Sons of The Forest","2025-11-27","9964","22","8"
"Deep Rock Galactic","2025-11-27","8748","304","8"
"Diablo IV China","2025-11-27","8581","0","0"
"World of Tanks","2025-11-27","8408","117807","1165"
"Sid Meier's Civilization VII","2025-11-27","8343","0","0"
"Blue Protocol: Star Resonance","2025-11-27","8251","66312","677"
"Monster Hunter Rise","2025-11-27","8227","24","2"
"Fellowship","2025-11-27","8066","14476","308"
"Escape the Backrooms","2025-11-27","7972","16","1"
"Dying Light","2025-11-27","7815","2","1"
"Dying Light: The Beast","2025-11-27","7625","100","6"
"The First Descendant","2025-11-27","7575","11562","101"
"Raft","2025-11-27","7498","52","6"
"Ready or Not","2025-11-27","7465","514","15"
"Tabletop Simulator","2025-11-27","7412","20","7"
"The Isle","2025-11-27","7346","438","46"
"Dark Souls III","2025-11-27","6993","204","8"
"Dune: Awakening","2025-11-27","6761","1686","42"
"Warhammer 40,000: Darktide","2025-11-27","6336","3910","44"
"Counter-Strike 2","2025-11-26","1428414","180738","14449"
"Dota 2","2025-11-26","740936","66462","4831"
"PUBG","2025-11-26","618529","281091","3488"
"Battlefield™ 6","2025-11-26","215876","168164","6216"
"Apex Legends","2025-11-26","186397","153385","3109"
"Rust","2025-11-26","117087","4828","624"
"Marvel Rivals","2025-11-26","97113","102810","2097"
"Call Of Duty: MWII | MWIII","2025-11-26","71074","19154","338"
"EA SPORTS FC 26","2025-11-26","64342","79577","1318"
"Baldur's Gate 3","2025-11-26","56813","80","14"
"Path of Exile","2025-11-26","51146","342385","3151"
"Rainbow Six Siege","2025-11-26","45861","0","0"
"Farming Simulator 25","2025-11-26","45165","60","7"
"Don't Starve Together","2025-11-26","44896","140","16"
"R.E.P.O.","2025-11-26","44187","2020","248"
"Dead by Daylight","2025-11-26","44037","132959","2770"
"Team Fortress 2","2025-11-26","41356","1151","69"
"Overwatch 2","2025-11-26","40399","88324","2852"
"Europa Universalis V","2025-11-26","37351","0","0"
"Risk of Rain 2","2025-11-26","35574","336","79"
"Enshrouded","2025-11-26","34993","1327","95"
"PalWorld","2025-11-26","34254","335","31"
"Limbus Company","2025-11-26","33835","38","13"
"INAZUMA ELEVEN: Victory Road","2025-11-26","31264","44","5"
"Street Fighter VI","2025-11-26","31010","7588","161"
"Helldivers 2","2025-11-26","28508","1853","116"
"Elden Ring","2025-11-26","26511","767","115"
"Rocket League","2025-11-26","25671","105695","1676"
"Warhammer: Vermintide 2","2025-11-26","25640","1332","49"
"Hunt: Showdown","2025-11-26","24508","53139","243"
"Left 4 Dead 2","2025-11-26","24244","1479","65"
"Monster Hunter Wilds","2025-11-26","24140","1351","61"
"Project Zomboid","2025-11-26","23437","258","51"
"Total War Warhammer 3","2025-11-26","23032","26","8"
"NBA 2K26","2025-11-26","22812","24118","331"
"7 Days to Die","2025-11-26","22742","207","22"
"Football Manager 2024","2025-11-26","21726","0","0"
"PAYDAY 2","2025-11-26","21399","49","2"
"ARK: Survival Evolved","2025-11-26","21112","96","11"
"ARK Survival Ascended","2025-11-26","20386","1685","74"
"Factorio","2025-11-26","19814","69","12"
"Warhammer 40,000: Space Marine 2","2025-11-26","19431","4422","115"
"Phasmophobia","2025-11-26","18606","1593","69"
"Stalcraft: X","2025-11-26","18229","4797","89"
"CS: Source","2025-11-26","18210","133","29"
"Once Human","2025-11-26","18072","5593","187"
"Russian Fishing 4","2025-11-26","17924","21","6"
"Black Desert Online","2025-11-26","17702","357977","5466"
"Anno 117: Pax Romana","2025-11-26","17537","18","3"
"Final Fantasy XIV","2025-11-26","17400","60396","3410"
"IdleOn - The Idle MMO","2025-11-26","17310","50","6"
"EA SPORTS FC 25","2025-11-26","16975","3324","75"
"Eternal Return","2025-11-26","16736","10261","425"
"Sid Meier's Civilization V","2025-11-26","16582","0","0"
"Assetto Corsa","2025-11-26","16364","236","30"
"eFootball™ 2026","2025-11-26","16146","89272","325"
"Destiny 2","2025-11-26","16139","13552","140"
"No Man's Sky","2025-11-26","14689","82","8"
"NBA 2K25","2025-11-26","14195","82","6"
"The Planet Crafter","2025-11-26","14190","25","2"
"Party Animals","2025-11-26","14071","638","16"
"Stellaris","2025-11-26","14002","5","1"
"Schedule I ","2025-11-26","13527","28","4"
"MIR4","2025-11-26","13386","20117","1456"
"RV There Yet?","2025-11-26","13118","65","6"
"Unturned","2025-11-26","12962","270","9"
"Goose Goose Duck","2025-11-26","12824","36","4"
"Squad","2025-11-26","12405","52802","59"
"Split Fiction","2025-11-26","12281","28","1"
"The Finals","2025-11-26","12135","11949","205"
"Path of Exile 2","2025-11-26","11577","15940","286"
"F1 25","2025-11-26","11508","95","26"
"Arma Reforger","2025-11-26","11176","316","51"
"Solo Leveling: ARISE OVERDRIVE","2025-11-26","10862","171","29"
"Borderlands 4","2025-11-26","10698","2","1"
"Fallout 76","2025-11-26","10486","2572","36"
"Ghost Of Tsushima","2025-11-26","10462","0","0"
"Astroneer Space","2025-11-26","10404","0","0"
"Bloons TD 6","2025-11-26","10252","125","5"
"Sons of The Forest","2025-11-26","10040","18","6"
"Throne and Liberty Global","2025-11-26","9769","503292","2963"
"Blue Protocol: Star Resonance","2025-11-26","8673","65131","696"
"Sid Meier's Civilization VII","2025-11-26","8631","0","0"
"Diablo IV China","2025-11-26","8343","0","0"
"Fellowship","2025-11-26","8207","12088","308"
"Monster Hunter Rise","2025-11-26","8200","0","0"
"World of Tanks","2025-11-26","8188","95304","1174"
"Tabletop Simulator","2025-11-26","8153","48","12"
"Escape the Backrooms","2025-11-26","7885","56","1"
"Deep Rock Galactic","2025-11-26","7822","84","5"
"Dying Light","2025-11-26","7669","11","2"
"Raft","2025-11-26","7653","25","3"
"The Isle","2025-11-26","7324","515","46"
"Ready or Not","2025-11-26","7310","337","20"
"Dune: Awakening","2025-11-26","7247","1502","53"
"The First Descendant","2025-11-26","7202","8560","118"
"Dark Souls III","2025-11-26","6517","3","2"
"Warhammer 40,000: Darktide","2025-11-26","6332","3333","53"
"Blue Archive","2025-11-26","6222","520","28"
"Sea of Thieves","2025-11-26","6092","9870","172"